Trial,Error,Current Angles
1,44.72288812506331,"[0.008269998537506748, 0.008266158183711682]"
2,44.72742645403056,"[0.01647600292704481, 0.016468713618882403]"
3,44.7349038081428,"[0.024618208509018375, 0.024608180217079605]"
4,44.74524997989378,"[0.03269682441132605, 0.03268506442702926]"
5,44.758395323296305,"[0.04071207285002857, 0.04069986536496802]"
6,44.774270791936274,"[0.04866418850601347, 0.048653074997257864]"
7,44.792807974829586,"[0.0565534179210472, 0.056545178321448016]"
8,44.81393913010687,"[0.06438001891279285, 0.06437665354545853]"
9,44.8375972165553,"[0.07214426000837193, 0.07214797226459332]"
10,44.86371592305142,"[0.07984641989604736, 0.07985959963612374]"
11,44.89222969592259,"[0.08748678689460611, 0.08751199455121185]"
12,44.92307376427864,"[0.09506565844002193, 0.09510560980397162]"
13,44.956184163358536,"[0.10258334058898055, 0.10264089225749053]"
14,44.99149775593948,"[0.11004014753885319, 0.1101182830066585]"
15,45.02895225185921,"[0.11743640116370828, 0.11753821753767228]"
16,45.0684862257038,"[0.12477243056595562, 0.12490112588410478]"
17,45.11003913271575,"[0.13204857164322117, 0.1322074327794457]"
18,45.153551322978615,"[0.13926516667005803, 0.1394575578060389]"
19,45.198964053935775,"[0.1464225638941025, 0.1466519155403566]"
20,45.246219501302186,"[0.15352111714629146, 0.15379091569456554]"
21,45.29526076842852,"[0.1605611854647634, 0.16087496325435324]"
22,45.34603189417791,"[0.167543132732072, 0.16790445861299622]"
23,45.39847785937567,"[0.17446732732534578, 0.1748797977016602]"
24,45.45254459189252,"[0.1813341417790388, 0.18180137211593667]"
25,45.50817897042166,"[0.18814395245991855, 0.18866956923862568]"
26,45.5653288270099,"[0.1948971392539482, 0.19548477235878586]"
27,45.623942948402224,"[0.2015940852647265, 0.202247360787079]"
28,45.683971076258985,"[0.20823517652315354, 0.20895770996744434]"
29,45.74536390630366,"[0.21482080170800183, 0.215616191585143]"
30,45.80807308645843,"[0.2213513518770745, 0.22222317367121916]"
31,45.87205121402376,"[0.22782722020864327, 0.2287790207034302]"
32,45.937251831956864,"[0.2342488017528633, 0.23528409370370115]"
33,46.003629424302936,"[0.24061649319287065, 0.24173875033216338]"
34,46.07113941083127,"[0.2469306926152741, 0.2481433449778409]"
35,46.139738140927534,"[0.25319179928975954, 0.2544982288460515]"
36,46.20938288679142,"[0.259400213457533, 0.26080375004259015]"
37,46.2800318359879,"[0.26555633612833474, 0.26706025365476616]"
38,46.351644083398355,"[0.2716605688857615, 0.2732680818293683]"
39,46.42417962261654,"[0.2777133137006442, 0.27942757384762984]"
40,46.49759933683253,"[0.2837149727522305, 0.2855390661972718]"
41,46.57186498924637,"[0.289665948256931, 0.291602892641697]"
42,46.646939213051475,"[0.2955666423043936, 0.2976193842864165]"
43,46.722785501025996,"[0.3014174567006733, 0.3035888696427829]"
44,46.7993681947692,"[0.30721879281827635, 0.30951167468910684]"
45,46.87665247361779,"[0.31297105145285875, 0.31538812292923935]"
46,46.95460434327599,"[0.31867463268636503, 0.321218535448691]"
47,47.03319062419119,"[0.324329935756404, 0.32700323096836975]"
48,47.112378939706,"[0.3299373589316551, 0.3327425258960112]"
49,47.19213770401528,"[0.3354972993931119, 0.33843673437537697]"
50,47.27243610995608,"[0.3410101531209724, 0.34408616833329847]"
51,47.35324411665631,"[0.3464763147869862, 0.3496911375246373]"
52,47.4345324370669,"[0.35189617765208236, 0.3552519495752357]"
53,47.51627252540081,"[0.35727013346909736, 0.36076891002292966]"
54,47.59843656450084,"[0.3625985723904372, 0.36624232235669735]"
55,47.68099745315692,"[0.36788188288050017, 0.37167248805400566]"
56,47.76392879339244,"[0.37312045163270485, 0.3770597066164316]"
57,47.847204877737724,"[0.37831466349096277, 0.3824042756036181]"
58,47.93080067650797,"[0.38346490137544076, 0.38770649066563323]"
59,48.014691825101515,"[0.3885715462124691, 0.3929666455737956]"
60,48.09885461133332,"[0.3936349768684472, 0.39818503225003]"
61,48.1832659628177,"[0.3986555700876041, 0.40336194079480797]"
62,48.26790343441317,"[0.40363370043348545, 0.40849765951374345]"
63,48.352745195741285,"[0.4085697402340239, 0.4135924749428893]"
64,48.437770018790694,"[0.41346405953007287, 0.4186466718727997]"
65,48.522957265616526,"[0.4183170260272712, 0.42366053337140885]"
66,48.60828687614449,"[0.42312900505112466, 0.4286343408057801]"
67,48.693739356088415,"[0.42790035950517924, 0.43356837386277686]"
68,48.779295764988966,"[0.43263144983217555, 0.43846291056870496]"
69,48.8649377043807,"[0.4373226339780739, 0.44331822730797604]"
70,48.950647306094126,"[0.4419742673588387, 0.44813459884083706]"
71,49.03640722069839,"[0.4465867028298811, 0.4529122983202122]"
72,49.12220060609003,"[0.45116029065805524, 0.4576515973077016]"
73,49.208011116232385,"[0.4556953784961137, 0.46235276578877854]"
74,49.29382289004984,"[0.4601923113595213, 0.4670160721872245]"
75,49.3796205404806,"[0.46465143160553873, 0.47164178337884505]"
76,49.46538914369109,"[0.4690730789144868, 0.476230164704501]"
77,49.551114228454715,"[0.4734575902730989, 0.4807814799824941]"
78,49.636781765697364,"[0.4778052999598845, 0.48529599152034103]"
79,49.722378158211484,"[0.4821165395324166, 0.48977396012596885]"
80,49.80789023054027,"[0.48639163781646655, 0.4942156451183672]"
81,49.89330521903319,"[0.49063092089690885, 0.4986213043377264]"
82,49.97861076207372,"[0.4948347121103226, 0.5029911941550917]"
83,50.06379489047981,"[0.4990033320392155, 0.5073255694815635]"
84,50.14884601807741,"[0.503137098507804, 0.5116246837770689]"
